motor_tipi,calisma_saati,titresim_rms_mms,titresim_kurtosis,sicaklik_C,akim_dengesizlik_pct,ariza
asenkron,10224.0,1.68,2.05,63.2,0.96,0
asenkron,9563.0,1.53,3.0,61.4,1.51,0
asenkron,6970.0,2.48,3.86,68.4,0.12,0
dc,14311.0,1.76,3.13,63.9,1.21,0
asenkron,1547.0,2.34,3.84,62.0,1.24,0
asenkron,15544.0,2.9,2.74,60.0,0.49,0
asenkron,19108.0,3.97,3.02,53.5,3.61,0
asenkron,14816.0,4.64,2.24,60.6,1.81,0
asenkron,847.0,1.59,2.54,66.1,3.03,0
dc,5120.0,2.66,2.69,65.2,0.31,0
senkron,3005.0,1.02,2.47,53.4,1.55,0
senkron,18664.0,3.38,4.2,49.9,1.71,0
dc,12268.0,3.65,2.46,60.0,2.56,0
senkron,7582.0,3.52,3.96,60.4,1.25,0
dc,8122.0,2.77,2.23,61.0,0.52,0
asenkron,1693.0,2.7,2.27,61.3,1.27,0
asenkron,7898.0,2.37,2.88,68.1,1.86,0
asenkron,18011.0,1.98,3.05,60.6,0.87,0
dc,5279.0,3.55,3.79,57.9,0.14,0
asenkron,5455.0,4.61,4.01,64.3,2.11,0
asenkron,16896.0,2.86,1.5,65.7,1.27,0
senkron,13340.0,2.08,3.75,52.9,0.46,0
asenkron,12692.0,2.31,3.51,66.5,3.08,0
asenkron,3253.0,2.17,3.25,65.0,2.63,0
dc,12986.0,4.68,2.54,74.2,1.69,0
senkron,19127.0,3.62,2.82,52.5,0.48,0
asenkron,12968.0,3.35,3.25,70.8,0.35,0
asenkron,13614.0,3.64,2.8,54.8,2.95,0
senkron,6002.0,2.58,4.1,61.0,1.28,1
senkron,3315.0,2.25,3.44,53.7,0.63,0
asenkron,13265.0,1.4,2.72,62.0,0.37,0
asenkron,7825.0,3.43,4.06,48.8,0.92,0
senkron,13070.0,1.96,2.78,63.1,1.09,0
senkron,6429.0,4.38,2.36,67.7,2.61,1
senkron,8459.0,1.8,1.82,52.6,0.1,0
asenkron,2789.0,2.51,1.5,67.1,2.8,0
dc,6484.0,3.45,1.7,72.0,3.86,0
asenkron,8005.0,3.5,3.78,54.2,2.07,0
asenkron,12778.0,5.76,5.36,59.3,1.16,1
asenkron,2288.0,3.15,3.31,67.1,3.61,0
asenkron,509.0,1.17,1.94,60.8,2.26,0
asenkron,2035.0,2.58,3.03,47.6,1.97,1
senkron,7856.0,2.26,2.17,51.6,4.11,0
senkron,16519.0,3.05,2.31,38.3,1.81,1
senkron,12884.0,2.19,4.17,53.6,0.77,0
asenkron,14194.0,1.66,2.96,70.6,2.15,0
asenkron,16589.0,2.84,3.39,61.4,1.05,1
asenkron,17071.0,5.13,4.22,78.8,3.58,1
senkron,12054.0,1.79,3.1,55.0,3.99,1
asenkron,10935.0,0.7,4.9,69.7,0.71,0
asenkron,12933.0,4.37,2.69,52.4,0.59,0
asenkron,3464.0,2.64,3.78,64.4,1.27,0
asenkron,5719.0,3.53,1.53,58.3,0.39,0
asenkron,19807.0,5.59,2.46,59.5,5.03,0
senkron,16640.0,1.95,2.78,52.2,0.55,0
senkron,9092.0,3.79,2.95,68.0,0.89,0
senkron,1813.0,2.06,2.37,63.6,3.24,0
asenkron,3871.0,3.45,2.46,77.2,3.37,0
asenkron,11265.0,4.09,3.0,57.9,1.42,1
dc,5925.0,3.3,2.98,62.2,1.29,0
asenkron,5420.0,4.5,3.92,62.1,1.23,0
asenkron,10498.0,3.25,3.29,59.8,8.73,1
dc,1036.0,2.7,2.98,74.2,2.95,0
asenkron,2890.0,2.27,4.58,63.1,3.81,1
asenkron,6629.0,3.11,2.48,69.1,0.36,0
asenkron,8588.0,3.67,6.84,73.4,4.6,1
dc,313.0,3.17,3.6,87.1,0.86,0
asenkron,12151.0,4.89,1.66,64.3,1.16,0
senkron,935.0,3.22,1.94,75.5,1.11,1
dc,6338.0,2.34,3.4,64.7,1.01,0
asenkron,11209.0,3.3,1.65,65.8,1.04,0
senkron,5357.0,2.5,2.57,67.3,2.82,1
asenkron,2821.0,2.14,2.38,59.0,1.85,0
dc,5142.0,3.0,2.8,80.7,1.22,0
asenkron,2828.0,3.74,3.88,65.5,0.13,0
asenkron,14561.0,3.7,2.48,51.1,0.2,0
asenkron,3671.0,2.67,1.71,52.3,4.46,0
asenkron,17927.0,2.6,2.88,69.1,0.61,0
dc,7190.0,3.45,1.72,75.0,0.43,0
dc,2863.0,3.16,2.52,83.4,1.92,0
dc,1665.0,3.97,3.79,72.6,0.33,0
senkron,1015.0,3.35,1.92,67.1,0.73,0
asenkron,12865.0,2.98,3.99,54.3,2.01,0
senkron,4872.0,4.19,3.37,55.8,0.13,0
dc,4883.0,3.71,2.97,56.8,0.94,0
asenkron,18348.0,3.87,2.86,69.2,2.3,1
asenkron,16982.0,4.03,3.86,46.0,1.23,0
dc,15934.0,4.1,3.57,78.4,0.75,0
asenkron,14128.0,3.8,2.26,53.1,2.64,0
asenkron,18437.0,5.54,4.0,87.0,12.63,1
asenkron,15800.0,2.55,4.21,72.7,3.39,1
asenkron,14294.0,3.38,3.84,47.3,2.67,0
senkron,13158.0,2.48,2.73,55.2,0.68,0
asenkron,8388.0,2.33,4.18,56.5,5.7,1
senkron,15356.0,2.04,2.7,68.5,0.85,0
senkron,19746.0,4.82,5.05,81.7,2.86,1
asenkron,13730.0,2.07,1.82,59.5,0.9,0
asenkron,11453.0,3.14,2.42,67.2,3.86,0
senkron,3211.0,4.01,3.69,71.8,3.83,0
senkron,1331.0,1.36,2.51,64.5,0.56,1
asenkron,4257.0,1.47,3.12,57.9,1.45,0
asenkron,10140.0,2.47,5.12,72.0,1.96,0
asenkron,134.0,1.95,2.36,71.6,1.82,0
asenkron,14088.0,1.3,2.23,63.6,0.31,0
asenkron,7481.0,3.25,3.52,55.2,2.84,0
asenkron,15397.0,3.75,2.48,59.8,0.58,1
senkron,2748.0,3.24,2.61,51.4,0.44,0
asenkron,366.0,2.96,3.55,62.1,1.97,0
asenkron,13697.0,1.2,2.81,51.5,1.0,0
dc,14944.0,0.21,1.77,61.0,5.95,0
asenkron,3878.0,2.52,2.61,68.4,1.87,0
senkron,15161.0,2.06,3.21,51.1,0.49,0
senkron,5299.0,2.97,2.08,68.1,0.6,0
asenkron,18143.0,2.41,2.21,65.0,1.81,0
senkron,6420.0,2.85,2.02,63.6,0.35,0
asenkron,3511.0,3.44,1.51,62.6,0.32,0
asenkron,17419.0,2.5,2.67,52.6,0.91,0
asenkron,1652.0,2.1,1.73,68.3,2.57,0
asenkron,17095.0,3.87,4.2,54.0,1.17,0
asenkron,10280.0,1.54,4.48,67.0,1.17,0
asenkron,12475.0,3.16,2.38,53.6,0.34,0
asenkron,8448.0,1.49,4.23,64.8,1.47,0
dc,10274.0,1.17,1.55,72.7,1.56,0
asenkron,13005.0,3.48,3.45,55.0,0.46,0
senkron,1118.0,3.76,2.87,72.9,4.03,1
senkron,4788.0,5.11,4.03,55.1,2.82,0
asenkron,4277.0,2.61,3.61,57.5,3.42,0
asenkron,2654.0,3.36,2.55,68.4,3.56,0
asenkron,12946.0,3.41,1.5,57.4,4.42,0
senkron,11575.0,2.18,2.71,56.1,1.02,0
asenkron,9623.0,2.77,3.08,49.3,4.7,0
asenkron,16153.0,1.89,2.97,75.6,1.02,0
asenkron,11821.0,1.71,3.66,67.3,2.35,0
asenkron,969.0,1.95,3.32,67.9,3.05,0
asenkron,15970.0,3.68,4.02,59.6,1.36,1
asenkron,6163.0,4.48,3.04,50.6,1.36,0
asenkron,1154.0,2.59,2.95,56.5,1.14,0
asenkron,10522.0,3.34,3.89,65.2,1.57,0
asenkron,10169.0,3.19,2.85,58.3,0.39,0
asenkron,1742.0,2.08,2.77,59.7,1.85,0
senkron,11813.0,3.57,3.09,63.2,0.16,0
senkron,5423.0,2.31,3.46,38.8,0.64,0
senkron,19735.0,3.52,3.38,69.2,1.8,0
asenkron,12889.0,2.29,1.5,58.0,1.22,0
asenkron,17924.0,3.76,3.99,35.7,3.15,0
asenkron,5738.0,0.64,2.03,55.2,0.49,0
senkron,16902.0,3.55,1.82,61.6,2.77,0
senkron,7803.0,3.9,3.4,67.6,2.79,0
asenkron,18039.0,3.57,3.09,50.0,1.09,0
dc,6428.0,1.92,3.27,62.8,1.82,0
asenkron,13078.0,4.04,2.17,54.6,2.88,0
asenkron,2930.0,1.79,3.24,61.9,1.3,0
senkron,701.0,1.87,1.5,71.5,5.26,1
asenkron,9875.0,2.79,2.33,71.0,1.0,0
senkron,5740.0,4.08,2.93,78.1,1.83,1
asenkron,17538.0,3.58,3.67,60.6,0.39,0
asenkron,9715.0,2.22,1.5,71.4,2.29,1
senkron,4195.0,3.6,2.4,57.1,1.42,0
senkron,14685.0,2.56,3.55,58.3,0.26,0
asenkron,18112.0,4.75,3.11,68.2,0.92,0
asenkron,13100.0,3.06,1.61,71.2,1.48,0
asenkron,17495.0,5.34,7.5,62.0,5.12,1
senkron,19629.0,3.73,3.86,72.1,2.93,0
asenkron,17251.0,5.1,4.32,82.5,3.48,1
asenkron,17817.0,6.16,2.71,63.9,1.5,1
senkron,9276.0,3.66,3.94,65.9,0.5,0
senkron,12814.0,3.06,2.0,65.1,3.77,0
asenkron,17938.0,6.17,3.15,72.2,3.63,1
asenkron,13211.0,2.75,2.8,70.5,0.18,0
senkron,3493.0,1.24,3.62,63.1,3.53,0
asenkron,15789.0,2.88,3.15,54.5,3.46,0
senkron,1194.0,3.16,2.73,54.8,3.42,0
asenkron,5201.0,1.89,2.26,59.4,0.69,0
asenkron,17811.0,2.4,2.44,59.5,0.72,0
dc,9884.0,2.51,3.08,70.2,0.45,1
dc,17742.0,2.16,3.03,74.4,1.0,0
asenkron,620.0,1.95,3.78,67.8,1.61,0
asenkron,10560.0,3.45,2.11,51.6,0.44,0
asenkron,15484.0,3.77,3.41,61.3,1.15,0
asenkron,1501.0,2.14,2.45,60.1,2.32,0
dc,11932.0,2.42,2.23,59.7,1.93,0
asenkron,2707.0,2.62,4.04,58.5,3.76,0
asenkron,2169.0,3.16,2.95,74.0,0.27,0
senkron,5315.0,3.69,4.77,51.5,1.8,0
asenkron,15816.0,4.55,4.76,83.4,4.12,1
senkron,19240.0,4.55,2.09,58.5,0.69,0
asenkron,17833.0,3.68,3.41,68.0,2.7,0
senkron,15221.0,2.9,2.35,59.7,1.02,0
asenkron,7016.0,3.37,3.05,59.4,0.37,0
asenkron,17103.0,3.1,2.62,67.6,1.09,0
senkron,9667.0,1.26,3.89,57.9,0.49,0
dc,10510.0,1.45,3.9,64.7,2.07,0
asenkron,13035.0,3.05,5.55,60.4,7.81,1
asenkron,584.0,2.63,4.17,65.4,1.4,0
asenkron,11472.0,2.81,6.66,70.5,1.36,1
dc,5205.0,0.63,2.67,70.9,0.71,0
asenkron,16998.0,4.39,2.37,64.8,0.67,0
senkron,8875.0,3.64,2.63,48.8,2.51,0
senkron,11052.0,2.84,2.89,59.0,0.92,0
asenkron,15868.0,1.68,1.79,58.6,2.03,0
asenkron,1675.0,2.69,3.1,83.0,6.37,0
asenkron,2014.0,3.01,2.39,53.3,0.89,0
asenkron,13628.0,2.38,2.42,59.9,0.45,0
senkron,15322.0,3.39,2.02,65.3,2.06,0
senkron,3691.0,3.99,4.46,62.8,10.37,1
asenkron,13035.0,3.19,1.55,64.0,2.3,0
asenkron,18744.0,3.24,4.73,56.9,0.4,0
asenkron,4128.0,2.5,2.58,56.3,1.51,0
senkron,7717.0,3.41,2.13,53.8,1.0,0
asenkron,12131.0,0.97,2.78,63.9,0.94,0
asenkron,13050.0,1.11,3.8,63.9,0.41,0
senkron,14245.0,4.87,3.98,78.0,1.09,1
dc,19846.0,2.16,3.4,80.2,1.24,0
asenkron,10715.0,2.17,3.7,81.3,2.45,0
asenkron,11391.0,0.72,3.71,78.0,1.65,0
asenkron,8533.0,3.83,3.47,62.4,2.3,1
senkron,16209.0,2.55,4.08,60.7,0.32,0
senkron,368.0,3.24,3.43,62.3,3.29,0
asenkron,13695.0,4.02,3.49,67.3,2.9,1
senkron,16932.0,3.23,4.61,66.6,2.27,0
asenkron,2167.0,2.1,1.71,76.1,2.32,0
asenkron,1440.0,2.53,4.51,60.9,3.96,0
asenkron,17885.0,2.14,3.91,64.7,1.25,0
senkron,16226.0,2.34,1.57,72.9,0.9,0
asenkron,9182.0,2.8,3.37,70.4,6.6,0
asenkron,3261.0,2.76,2.86,59.9,0.81,0
asenkron,16592.0,3.4,2.56,60.5,1.91,0
senkron,9298.0,3.89,1.5,54.6,2.06,0
asenkron,13844.0,4.76,3.37,56.6,0.53,0
dc,2185.0,3.63,3.46,60.1,2.39,0
asenkron,17797.0,3.73,2.8,70.2,2.03,0
asenkron,10958.0,1.96,2.59,66.9,2.11,0
asenkron,14019.0,2.48,2.84,61.1,1.43,0
asenkron,8272.0,3.84,3.09,50.6,0.68,0
senkron,13638.0,3.36,2.69,54.2,2.45,0
senkron,14156.0,2.4,3.13,58.3,4.67,0
senkron,14803.0,4.45,2.59,57.8,0.46,0
dc,5710.0,4.1,2.03,57.7,1.53,0
asenkron,3352.0,3.16,3.89,79.5,1.43,0
asenkron,13861.0,3.99,3.65,44.6,1.35,0
asenkron,2408.0,3.36,1.87,47.4,2.37,0
dc,19431.0,2.98,3.32,84.6,0.17,0
asenkron,6496.0,3.64,3.94,66.6,0.94,0
asenkron,11656.0,3.12,4.27,66.7,0.84,0
asenkron,9019.0,6.38,3.73,57.9,5.51,1
asenkron,8684.0,3.89,2.93,47.6,2.08,0
asenkron,6673.0,1.49,3.46,64.0,2.67,0
senkron,5352.0,2.6,3.02,58.2,0.65,0
asenkron,14759.0,2.66,4.11,60.6,1.8,0
asenkron,10603.0,2.56,2.47,62.9,0.89,0
dc,17418.0,2.31,2.29,67.3,1.39,0
dc,4656.0,2.02,6.16,83.9,6.65,1
asenkron,12429.0,2.35,4.05,81.4,5.47,0
asenkron,3651.0,0.41,4.11,45.4,1.26,0
asenkron,6606.0,3.79,2.68,74.9,1.11,0
asenkron,3731.0,2.2,3.42,61.0,1.42,0
senkron,5443.0,1.63,3.14,56.0,2.45,0
dc,6070.0,2.64,3.2,63.2,2.53,0
asenkron,18256.0,4.14,6.24,86.9,7.14,1
senkron,4520.0,2.04,3.45,66.2,1.56,0
asenkron,1400.0,0.71,1.5,45.3,2.1,1
dc,5881.0,1.69,2.68,90.1,2.42,1
senkron,4070.0,2.06,3.18,65.2,0.94,0
senkron,15513.0,4.41,2.01,60.6,3.14,0
asenkron,19382.0,3.71,3.15,63.9,1.67,0
senkron,19180.0,3.99,3.67,64.2,1.61,1
asenkron,18835.0,5.14,4.04,64.9,4.25,1
asenkron,12339.0,2.23,2.92,64.0,1.29,0
senkron,14770.0,2.4,4.06,78.8,2.8,0
senkron,7205.0,4.08,2.97,59.8,1.92,1
senkron,11920.0,0.32,3.96,69.8,1.69,0
asenkron,9614.0,2.16,2.25,65.0,1.76,0
asenkron,6606.0,2.16,3.38,50.7,3.55,0
asenkron,6946.0,4.95,3.38,84.0,1.2,1
asenkron,1760.0,2.02,3.27,61.8,3.13,0
asenkron,3374.0,0.76,2.27,54.8,0.65,0
asenkron,16343.0,3.85,4.24,69.1,2.73,0
asenkron,5712.0,2.4,2.64,59.4,0.15,0
asenkron,14059.0,3.02,3.23,66.9,2.23,0
asenkron,471.0,2.59,3.09,73.1,3.47,0
asenkron,15656.0,2.52,1.5,72.0,1.5,0
asenkron,3783.0,1.01,3.77,66.2,0.62,0
asenkron,8387.0,1.11,3.16,71.7,2.67,0
asenkron,854.0,3.08,2.34,73.9,0.49,0
senkron,11810.0,1.18,2.64,56.8,1.7,0
asenkron,19197.0,3.36,1.53,69.8,0.94,0
asenkron,6598.0,4.88,2.59,60.7,0.67,0
asenkron,4531.0,0.76,2.96,45.7,3.0,0
senkron,5752.0,3.67,2.84,71.6,0.42,0
asenkron,19061.0,2.51,3.16,53.8,0.89,0
asenkron,17340.0,2.09,3.62,69.9,1.92,1
asenkron,10680.0,2.88,1.7,60.4,3.22,0
asenkron,3741.0,4.57,4.78,74.5,3.61,1
senkron,10024.0,2.39,4.02,52.4,3.59,0
senkron,7452.0,2.04,2.46,60.5,2.11,0
asenkron,10312.0,2.76,5.22,78.9,2.76,1
asenkron,15346.0,2.88,3.07,70.0,1.18,0
asenkron,10287.0,1.21,1.5,57.3,1.96,0
dc,9331.0,2.09,2.58,54.4,0.43,0
dc,17329.0,4.45,3.79,80.9,0.88,1
asenkron,18159.0,2.42,3.69,59.5,2.45,0
asenkron,17693.0,3.93,3.6,68.7,2.02,0
asenkron,19068.0,1.97,3.37,51.7,1.29,0
senkron,15696.0,4.02,2.0,61.9,1.45,0
asenkron,12681.0,1.26,2.25,57.1,2.05,0
asenkron,11006.0,6.47,3.96,70.7,7.01,1
dc,14541.0,3.5,3.28,72.8,2.25,0
asenkron,1230.0,0.92,3.67,55.7,3.09,0
dc,10940.0,2.32,3.4,73.5,1.05,0
asenkron,8556.0,5.67,3.6,63.2,3.68,1
senkron,17641.0,3.52,1.98,49.4,1.08,0
asenkron,19813.0,5.58,2.26,65.4,3.39,1
senkron,16166.0,3.2,2.32,73.0,2.21,0
dc,13908.0,1.64,2.67,67.3,0.74,0
senkron,6747.0,4.28,3.43,65.6,4.93,1
asenkron,19829.0,2.11,2.83,59.0,2.08,0
senkron,12850.0,3.57,2.22,56.9,0.31,0
asenkron,14603.0,2.85,3.25,54.4,2.95,0
asenkron,18383.0,2.9,3.38,65.7,1.68,0
senkron,11807.0,2.04,2.76,75.8,2.62,0
senkron,234.0,2.73,3.05,64.4,0.93,0
dc,3385.0,1.91,3.36,76.2,1.3,0
asenkron,18202.0,2.56,3.02,64.3,0.27,0
asenkron,15138.0,3.66,3.75,74.0,4.67,0
dc,2989.0,0.2,3.35,77.4,1.58,0
asenkron,13289.0,4.29,2.94,60.3,1.04,0
senkron,2046.0,1.2,2.79,71.3,0.67,0
senkron,7664.0,2.66,2.36,62.2,1.6,0
senkron,18684.0,3.94,4.42,75.6,2.0,0
dc,2936.0,1.65,2.64,66.5,1.36,0
asenkron,17047.0,4.67,2.3,68.0,4.78,0
asenkron,18213.0,3.24,1.64,66.3,1.55,0
senkron,11076.0,2.16,2.93,55.9,3.09,0
asenkron,17175.0,3.32,2.62,53.9,2.52,0
asenkron,14937.0,2.56,3.17,63.1,2.14,0
asenkron,1924.0,3.1,3.47,56.3,1.36,1
asenkron,8624.0,3.3,3.36,53.7,1.37,0
asenkron,12762.0,2.53,4.09,57.2,3.54,0
asenkron,1297.0,1.93,3.29,66.7,1.49,0
asenkron,16128.0,4.72,3.55,86.3,3.14,1
senkron,9501.0,0.62,3.94,55.7,1.36,0
senkron,8440.0,1.25,1.5,44.9,0.4,0
asenkron,16536.0,2.89,3.68,71.8,0.19,0
asenkron,18801.0,2.15,3.54,60.1,6.02,0
asenkron,5880.0,1.6,2.31,62.5,0.98,0
dc,6926.0,2.88,2.87,58.5,0.42,0
asenkron,12709.0,3.43,3.1,59.7,1.23,0
dc,10084.0,2.29,2.04,60.8,0.9,0
asenkron,6813.0,4.24,2.07,51.1,3.13,0
asenkron,11234.0,3.58,1.5,48.8,1.98,0
asenkron,6688.0,2.53,2.45,71.9,1.13,0
asenkron,2014.0,2.46,2.69,54.9,1.18,0
dc,17084.0,3.74,2.02,41.0,0.69,0
asenkron,1867.0,1.57,1.5,57.3,2.35,0
asenkron,19513.0,6.09,3.33,61.8,4.37,1
dc,13654.0,2.59,2.81,63.5,1.99,0
asenkron,18860.0,2.69,3.33,61.8,2.65,0
dc,19939.0,2.52,3.2,62.7,1.11,0
asenkron,11858.0,3.04,3.59,64.8,3.3,0
asenkron,351.0,2.42,2.6,52.3,1.99,0
asenkron,19790.0,4.02,2.5,47.3,2.35,0
senkron,12912.0,4.37,3.17,51.3,1.83,0
senkron,13072.0,2.44,2.83,66.9,0.41,0
senkron,4947.0,2.62,2.87,66.5,2.16,0
asenkron,6665.0,3.43,3.03,62.9,0.58,0
asenkron,2206.0,1.89,1.59,69.6,2.58,0
asenkron,350.0,2.94,4.66,47.8,0.86,0
asenkron,9245.0,1.73,3.54,66.3,0.08,0
asenkron,4303.0,2.9,1.76,64.9,0.94,0
senkron,11294.0,2.17,3.16,52.3,1.18,0
asenkron,11626.0,3.84,2.25,63.2,0.95,0
asenkron,9794.0,3.19,2.56,59.1,0.82,0
asenkron,11062.0,3.63,3.12,60.4,4.07,0
asenkron,917.0,2.52,2.77,48.8,0.95,0
asenkron,14798.0,2.67,3.01,65.6,1.41,0
dc,11543.0,4.35,3.55,59.5,1.81,0
asenkron,3014.0,2.48,2.72,62.7,5.81,0
dc,17697.0,2.74,4.29,73.0,2.31,0
dc,2972.0,2.59,2.1,55.6,1.98,0
asenkron,7998.0,4.63,4.14,70.9,2.38,1
dc,8169.0,2.54,2.8,51.4,1.73,0
asenkron,10311.0,2.82,2.7,67.2,1.22,0
asenkron,6548.0,2.41,3.13,74.0,0.52,0
asenkron,5914.0,3.41,3.18,59.2,1.31,0
senkron,16457.0,2.9,2.51,59.7,1.8,0
asenkron,769.0,2.97,4.24,66.1,2.99,0
senkron,10445.0,2.73,2.67,60.2,0.63,0
asenkron,7176.0,2.34,3.39,63.1,0.42,0
asenkron,14548.0,2.03,3.09,57.3,0.59,0
senkron,12348.0,3.16,2.46,60.8,1.56,0
asenkron,4078.0,2.42,1.76,69.2,4.67,0
senkron,18557.0,3.14,3.93,56.8,0.84,0
asenkron,6800.0,1.87,3.38,64.9,0.25,0
senkron,17884.0,3.71,3.95,62.3,1.46,1
senkron,13284.0,2.18,2.16,60.6,1.4,0
asenkron,3246.0,1.32,3.09,59.5,7.66,0
asenkron,16520.0,1.03,3.2,68.0,1.51,0
senkron,7411.0,2.95,1.98,55.1,3.96,0
dc,6991.0,3.51,1.71,66.4,2.11,0
asenkron,15472.0,4.07,2.9,52.3,0.61,0
asenkron,13261.0,4.22,2.18,59.2,3.29,0
senkron,12508.0,2.6,3.7,57.7,2.18,0
dc,5937.0,2.28,3.11,59.6,0.75,0
senkron,10995.0,3.24,7.72,74.8,2.11,1
senkron,8478.0,2.97,3.18,53.9,0.76,0
senkron,17548.0,1.23,3.78,66.9,1.26,0
senkron,1869.0,4.08,3.4,75.0,1.7,1
senkron,3443.0,3.27,2.65,63.9,2.19,0
senkron,19743.0,3.05,3.72,71.5,1.28,0
asenkron,13387.0,4.26,2.93,63.7,3.4,0
senkron,7131.0,1.82,3.53,69.7,1.01,0
asenkron,19766.0,4.35,4.25,53.6,1.9,0
dc,4335.0,2.76,1.98,73.8,1.94,0
asenkron,1222.0,4.72,2.23,58.6,4.22,1
asenkron,10670.0,4.18,3.23,54.1,1.38,0
asenkron,18209.0,3.82,1.66,51.8,0.65,0
senkron,3682.0,3.31,2.83,67.3,1.29,0
senkron,7294.0,2.54,2.91,79.1,1.37,0
asenkron,12923.0,1.95,2.39,56.9,3.41,0
asenkron,14980.0,3.73,1.5,65.5,1.4,0
senkron,11231.0,4.65,5.34,77.6,1.56,1
asenkron,11239.0,2.66,1.5,56.6,2.38,0
senkron,9244.0,3.95,2.24,66.5,4.01,0
asenkron,234.0,1.95,3.29,59.2,1.81,1
dc,5490.0,5.41,5.46,89.9,1.28,1
asenkron,5563.0,5.04,4.96,55.8,1.47,0
senkron,13796.0,2.91,4.06,65.4,1.43,0
dc,3760.0,1.0,3.06,63.8,0.95,0
asenkron,12030.0,1.14,2.34,71.9,1.76,0
asenkron,13049.0,2.71,2.98,69.2,1.5,0
asenkron,3054.0,2.61,3.22,55.0,5.42,0
asenkron,8130.0,4.16,2.7,55.1,2.7,0
asenkron,7651.0,4.81,2.53,67.2,1.84,0
senkron,5957.0,3.61,2.47,54.7,1.37,0
asenkron,7206.0,6.11,4.45,66.6,1.2,1
asenkron,10899.0,2.67,2.49,65.5,4.26,0
senkron,4978.0,3.59,2.78,50.4,0.85,0
dc,4114.0,1.8,3.5,61.1,2.37,0
asenkron,2884.0,3.39,2.95,78.4,0.35,0
asenkron,852.0,2.14,2.07,76.0,0.17,0
asenkron,1477.0,2.38,3.74,57.6,0.87,0
senkron,16358.0,3.13,1.74,64.6,1.59,0
asenkron,1474.0,3.64,2.23,63.9,3.44,0
asenkron,16713.0,2.22,3.35,55.7,0.64,0
senkron,7250.0,2.26,2.74,58.4,3.61,0
asenkron,17153.0,3.39,1.65,63.5,0.86,0
asenkron,5135.0,2.61,2.92,58.3,0.77,0
dc,15919.0,2.97,2.9,77.2,2.03,0
asenkron,11930.0,2.91,2.36,66.7,1.21,0
asenkron,1275.0,2.73,2.88,65.3,2.58,0
senkron,125.0,3.08,3.02,62.2,0.49,0
asenkron,14059.0,2.2,2.65,52.4,0.16,0
senkron,1794.0,0.2,3.86,60.0,0.88,0
asenkron,19164.0,4.18,2.24,56.7,1.38,0
asenkron,4056.0,3.62,4.99,66.8,0.43,1
senkron,7598.0,4.82,6.12,76.0,4.06,1
senkron,12583.0,1.77,2.9,61.8,1.94,0
senkron,3121.0,2.38,3.34,70.2,1.61,0
asenkron,4968.0,2.07,2.64,73.4,4.73,0
dc,2867.0,2.98,2.41,91.8,1.7,0
asenkron,7905.0,3.91,2.31,64.9,2.08,0
asenkron,14221.0,2.41,2.09,69.9,0.1,0
dc,10763.0,3.26,3.44,59.3,3.29,0
asenkron,442.0,1.52,2.53,66.7,1.08,0
senkron,7338.0,0.96,3.64,55.7,1.86,0
senkron,10437.0,1.64,2.77,58.8,1.12,0
asenkron,13909.0,1.89,3.44,61.6,1.25,0
asenkron,19646.0,3.51,2.2,66.6,1.27,1
senkron,4667.0,2.71,4.56,61.6,1.7,0
asenkron,13433.0,4.69,5.6,62.8,4.81,1
senkron,7236.0,1.28,2.96,49.5,0.89,0
dc,4671.0,0.86,3.37,87.0,2.59,0
asenkron,9182.0,1.38,4.12,47.4,0.12,0
asenkron,16805.0,2.84,3.08,73.3,1.39,0
senkron,4557.0,2.11,3.11,69.8,1.01,0
senkron,319.0,3.39,5.01,63.3,7.41,1
asenkron,10482.0,3.34,3.38,78.3,0.28,0
dc,2375.0,6.12,1.5,72.7,3.3,1
asenkron,10890.0,2.96,3.96,68.4,2.72,0
senkron,16848.0,2.69,2.95,52.7,0.85,0
senkron,9773.0,2.25,3.43,66.7,2.34,1
asenkron,5849.0,1.97,4.37,59.5,4.61,1
asenkron,19586.0,2.49,3.0,69.8,0.88,0
asenkron,5701.0,4.55,4.98,61.5,4.11,1
asenkron,14508.0,3.43,3.56,51.7,3.83,0
senkron,8944.0,2.98,5.15,54.8,1.22,0
asenkron,7531.0,2.79,2.68,73.6,0.95,0
asenkron,5935.0,2.23,3.14,67.2,0.83,0
dc,12263.0,3.36,2.76,71.6,0.55,0
senkron,4666.0,2.71,3.6,61.9,2.66,0
asenkron,14107.0,2.73,4.48,54.0,0.41,0
senkron,4132.0,1.78,2.78,59.3,1.01,0
asenkron,10720.0,3.19,1.77,85.2,0.89,0
dc,18262.0,2.92,2.42,70.1,0.61,0
asenkron,16605.0,3.28,4.13,67.0,0.82,0
asenkron,8364.0,2.52,2.94,78.8,2.73,0
asenkron,984.0,3.73,4.89,53.1,0.73,0
dc,15217.0,2.12,2.43,65.8,1.44,0
asenkron,16667.0,2.01,2.01,67.6,2.4,0
asenkron,9645.0,2.75,4.57,61.6,1.28,0
asenkron,19518.0,2.89,2.94,70.8,2.48,0
senkron,737.0,4.13,1.5,55.2,4.78,0
senkron,8393.0,3.4,2.9,48.6,1.7,0
senkron,15296.0,3.83,3.14,57.6,1.23,0
senkron,16742.0,4.14,2.91,76.7,1.3,0
dc,15998.0,2.03,2.38,72.6,1.85,0
asenkron,6531.0,2.39,2.98,56.0,1.27,0
senkron,856.0,2.37,1.5,70.0,1.14,0
