gun,saat,isinim_Wm2,sicaklik_C,ruzgar_ms,bulutluluk,guc_kW
25,3,1.6,14.4,3.7,0.22,0.0
25,4,0.0,23.0,0.4,0.16,0.0
25,5,18.5,16.2,1.5,0.21,0.05
25,6,0.0,23.8,1.4,0.29,0.171
25,7,145.2,22.8,2.7,0.39,1.364
25,8,375.7,24.5,5.3,0.33,3.231
25,9,611.2,25.2,1.2,0.17,5.418
25,10,694.8,28.2,3.4,0.23,5.509
25,11,724.9,33.3,3.0,0.27,5.732
25,12,751.0,35.2,4.2,0.26,6.054
25,13,744.9,33.9,8.1,0.27,6.11
25,14,611.3,36.8,5.7,0.33,4.844
25,15,536.9,35.7,1.4,0.28,4.392
25,16,411.9,37.0,2.9,0.21,3.489
25,17,223.1,33.1,5.5,0.11,2.064
25,18,0.0,25.0,6.7,0.24,0.0
25,19,7.2,30.4,1.9,0.13,0.0
25,20,0.0,21.9,4.2,0.25,0.0
25,21,0.0,24.7,0.9,0.29,0.0
25,22,0.0,24.6,1.5,0.15,0.055
25,23,1.6,18.9,1.3,0.25,0.0
26,0,0.0,20.4,4.0,0.25,0.417
26,1,9.2,11.7,0.4,0.43,0.29
26,2,0.0,24.5,4.8,0.31,0.071
26,3,8.4,12.3,4.9,0.13,0.088
26,4,24.4,14.6,7.9,0.31,0.478
26,5,0.0,23.2,1.4,0.31,0.009
26,6,0.0,23.0,4.7,0.26,0.063
26,7,197.6,21.8,1.1,0.24,1.599
26,8,378.4,25.7,1.6,0.32,3.283
26,9,503.6,27.2,2.7,0.33,4.046
26,10,619.7,28.6,3.3,0.31,5.066
26,11,757.9,30.3,5.3,0.19,6.257
26,12,790.9,33.5,0.3,0.25,6.03
26,13,837.1,31.3,5.2,0.15,6.65
26,14,728.2,35.7,1.0,0.15,5.455
26,15,588.5,35.7,2.9,0.23,4.609
26,16,401.8,35.5,0.4,0.19,3.212
26,17,212.6,34.2,3.0,0.24,1.86
26,18,0.0,23.5,4.9,0.47,0.166
26,19,0.0,21.7,0.8,0.31,0.183
26,20,0.0,24.8,1.2,0.2,0.0
26,21,6.9,26.0,2.3,0.1,0.0
26,22,9.1,23.9,3.1,0.2,0.027
26,23,0.0,23.1,1.3,0.15,0.0
27,0,0.0,21.7,2.3,0.01,0.0
27,1,0.0,24.8,3.2,0.25,0.0
27,2,0.0,23.6,6.3,0.15,0.0
27,3,0.0,23.5,5.9,0.22,0.014
27,4,12.2,15.1,2.3,0.44,0.118
27,5,17.5,19.0,2.2,0.21,0.067
27,6,0.0,23.9,7.4,0.2,0.0
27,7,225.7,22.1,2.6,0.22,2.062
27,8,417.7,26.7,1.5,0.17,3.587
27,9,614.5,26.1,9.2,0.12,5.286
27,10,721.4,30.9,2.7,0.17,5.829
27,11,738.5,31.5,2.5,0.28,5.873
27,12,840.9,34.8,13.4,0.17,6.912
27,13,839.1,34.9,1.5,0.08,6.351
27,14,780.4,37.1,1.1,0.09,6.316
27,15,600.4,34.8,4.9,0.11,4.758
27,16,412.8,34.9,1.2,0.19,3.444
27,17,206.9,33.8,5.5,0.23,2.023
27,18,0.0,23.5,4.7,0.23,0.119
27,19,0.1,33.1,1.6,0.29,0.092
27,20,0.0,24.6,2.1,0.17,0.0
27,21,0.0,24.9,3.2,0.26,0.206
27,22,30.8,23.6,5.2,0.22,0.237
27,23,2.4,21.4,2.5,0.25,0.074
28,0,0.0,24.6,5.9,0.0,0.0
28,1,26.5,12.5,1.4,0.23,0.225
28,2,0.0,23.2,2.1,0.0,0.0
28,3,0.0,23.4,1.0,0.04,0.0
28,4,0.0,22.4,4.5,0.19,0.165
28,5,9.1,17.6,0.2,0.1,0.0
28,6,15.2,20.4,3.2,0.27,0.138
28,7,248.5,24.2,2.3,0.14,2.149
28,8,442.2,19.4,0.8,0.05,3.784
28,9,615.3,27.9,3.4,0.14,5.015
28,10,782.9,30.1,2.2,0.1,6.282
28,11,752.7,35.4,0.3,0.26,5.867
28,12,763.4,32.7,7.2,0.26,5.804
28,13,761.2,33.6,1.3,0.19,5.841
28,14,764.2,36.0,1.8,0.1,5.923
28,15,593.4,33.8,0.9,0.14,4.883
28,16,371.5,33.6,5.6,0.22,3.115
28,17,242.4,35.7,0.6,0.07,2.195
28,18,0.0,21.5,5.4,0.07,0.0
28,19,0.0,22.3,0.9,0.2,0.003
28,20,30.0,31.0,2.0,0.19,0.223
28,21,0.0,24.9,1.0,0.11,0.045
28,22,0.0,22.0,3.5,0.11,0.0
28,23,0.0,26.1,7.8,0.0,0.021
29,0,7.9,12.4,1.5,0.26,0.113
29,1,0.0,23.5,2.6,0.16,0.0
29,2,0.0,24.2,1.9,0.05,0.0
29,3,0.0,23.8,3.5,0.08,0.109
29,4,0.0,25.7,3.2,0.1,0.0
29,5,0.0,24.9,1.8,0.31,0.046
29,6,0.0,22.7,3.9,0.22,0.077
29,7,221.0,20.5,1.8,0.06,1.716
29,8,348.2,25.1,1.7,0.32,2.758
29,9,531.4,25.7,0.7,0.28,4.402
29,10,758.1,27.7,2.5,0.08,6.27
29,11,922.2,27.9,4.0,0.0,7.295
29,12,721.9,34.6,1.3,0.25,5.582
29,13,814.8,34.8,2.3,0.12,6.411
29,14,742.8,35.4,2.8,0.16,5.875
29,15,610.1,34.6,4.3,0.13,4.839
29,16,361.7,34.8,5.2,0.27,3.06
29,17,189.5,34.7,3.0,0.29,1.786
29,18,0.0,22.3,3.1,0.23,0.0
29,19,0.0,24.1,4.1,0.16,0.209
29,20,21.3,31.7,1.6,0.19,0.258
29,21,0.0,23.2,2.1,0.22,0.243
29,22,2.7,24.0,2.1,0.04,0.114
29,23,0.0,26.3,1.8,0.27,0.105
30,0,0.0,24.1,2.1,0.09,0.0
30,1,0.0,26.3,1.4,0.13,0.354
30,2,0.0,25.5,2.8,0.12,0.0
30,3,0.0,25.4,1.7,0.19,0.108
30,4,0.0,23.7,6.6,0.2,0.009
30,5,0.3,15.8,1.8,0.29,0.0
30,6,0.9,20.8,5.7,0.09,0.0
30,7,247.6,21.5,1.2,0.04,2.114
30,8,426.7,23.8,5.6,0.13,3.82
30,9,659.9,23.4,1.3,0.06,5.488
30,10,718.2,29.0,2.0,0.18,5.789
30,11,903.5,35.2,5.2,0.05,6.525
30,12,859.3,34.4,1.4,0.13,6.454
30,13,804.7,37.5,4.0,0.19,6.128
30,14,702.6,36.1,5.9,0.2,5.542
30,15,579.9,33.9,1.7,0.13,4.44
30,16,392.9,36.0,2.7,0.23,3.515
30,17,202.5,37.5,6.2,0.22,1.672
30,18,0.0,24.3,1.0,0.0,0.135
30,19,0.0,23.6,7.2,0.14,0.0
30,20,0.0,23.8,5.0,0.13,0.0
30,21,34.2,25.0,2.5,0.09,0.387
30,22,4.3,23.5,1.9,0.06,0.0
30,23,27.1,21.6,3.7,0.12,0.165
31,0,13.8,13.8,3.5,0.46,0.344
31,1,16.1,13.2,4.7,0.45,0.155
31,2,12.0,10.7,1.2,0.54,0.0
31,3,0.0,21.2,1.7,0.51,0.0
31,4,18.7,14.2,3.6,0.38,0.234
31,5,0.0,22.9,3.5,0.37,0.084
31,6,6.3,20.1,2.1,0.5,0.261
31,7,175.4,19.9,6.1,0.37,1.644
31,8,342.0,25.0,4.4,0.44,3.013
31,9,454.7,26.1,0.6,0.47,3.921
31,10,535.1,31.0,5.2,0.51,4.805
31,11,601.6,31.6,7.8,0.47,5.039
31,12,562.3,30.5,1.2,0.54,4.819
31,13,659.5,31.3,1.0,0.39,5.252
31,14,561.4,36.2,1.2,0.48,4.385
31,15,490.1,34.5,2.2,0.38,3.859
31,16,317.6,37.2,1.6,0.44,2.626
31,17,146.3,34.8,4.3,0.44,1.195
31,18,0.0,26.7,7.3,0.35,0.129
31,19,0.0,24.0,3.0,0.22,0.109
31,20,10.1,28.1,0.8,0.51,0.101
31,21,9.3,23.7,1.5,0.46,0.052
31,22,0.0,24.8,0.9,0.44,0.0
31,23,1.9,21.0,4.0,0.37,0.017
32,0,23.1,11.8,2.3,0.29,0.296
32,1,27.8,16.0,3.6,0.35,0.546
32,2,18.0,13.5,4.6,0.32,0.284
32,3,23.0,11.8,7.4,0.41,0.068
32,4,18.8,15.6,1.6,0.33,0.427
32,5,27.5,14.2,2.3,0.25,0.372
32,6,0.0,23.0,8.9,0.37,0.0
32,7,189.2,22.6,5.7,0.27,1.531
32,8,359.7,22.0,2.9,0.33,3.205
32,9,591.2,26.7,2.4,0.17,4.794
32,10,665.0,29.3,5.6,0.29,5.498
32,11,641.6,31.7,0.9,0.36,4.947
32,12,764.2,31.9,3.0,0.26,6.01
32,13,705.7,32.7,4.9,0.31,5.719
32,14,588.6,35.7,6.3,0.36,4.891
32,15,507.9,36.9,0.8,0.32,4.221
32,16,326.8,34.2,2.8,0.46,2.912
32,17,198.6,36.0,8.5,0.29,1.677
32,18,0.0,25.6,2.2,0.3,0.042
32,19,3.2,32.0,3.8,0.3,0.197
32,20,0.0,25.5,1.5,0.16,0.0
32,21,14.2,28.1,2.1,0.19,0.15
32,22,0.0,25.8,2.9,0.36,0.019
32,23,14.9,21.7,2.9,0.29,0.118
33,0,0.0,24.4,4.2,0.4,0.308
33,1,0.0,24.5,3.0,0.29,0.0
33,2,0.0,25.8,2.4,0.28,0.043
33,3,0.0,23.2,1.0,0.37,0.0
33,4,12.8,16.8,10.1,0.31,0.048
33,5,0.0,22.6,4.5,0.42,0.081
33,6,0.0,26.9,1.9,0.21,0.0
33,7,187.2,22.3,0.7,0.33,1.556
33,8,346.3,28.1,0.5,0.35,2.978
33,9,514.8,27.1,1.2,0.34,4.426
33,10,566.8,30.2,1.6,0.38,4.66
33,11,672.6,29.1,8.5,0.38,5.577
33,12,759.3,33.0,9.7,0.3,5.832
33,13,771.9,35.1,3.9,0.25,5.915
33,14,592.6,36.3,0.1,0.37,4.569
33,15,509.9,37.0,7.9,0.3,3.904
33,16,319.4,35.9,6.1,0.37,2.839
33,17,182.2,34.7,1.1,0.4,1.447
33,18,12.7,34.8,2.0,0.31,0.121
33,19,4.7,29.2,2.1,0.22,0.0
33,20,5.5,28.6,4.5,0.28,0.099
33,21,10.5,27.7,2.9,0.36,0.407
33,22,0.0,23.9,1.4,0.28,0.0
33,23,0.0,25.8,1.9,0.39,0.006
34,0,0.0,23.0,1.7,0.29,0.076
34,1,0.0,23.4,2.8,0.3,0.0
34,2,0.0,24.9,1.2,0.24,0.0
34,3,0.0,26.7,1.9,0.28,0.133
34,4,0.0,22.0,4.3,0.37,0.2
34,5,0.0,21.4,5.2,0.26,0.2
34,6,10.2,17.0,1.9,0.26,0.0
34,7,203.8,19.4,2.0,0.22,2.221
34,8,363.2,24.4,0.8,0.35,3.047
34,9,569.4,28.1,3.8,0.16,4.742
34,10,662.5,29.2,4.1,0.23,5.824
34,11,647.4,31.8,1.3,0.36,5.104
34,12,670.5,34.3,7.1,0.4,5.82
34,13,781.2,35.4,3.5,0.27,6.151
34,14,603.2,36.1,2.3,0.36,4.581
34,15,602.1,36.3,4.2,0.13,5.147
34,16,355.7,37.4,0.4,0.34,2.839
34,17,189.0,33.1,1.6,0.31,1.441
34,18,14.9,32.6,5.1,0.19,0.146
34,19,0.3,31.9,4.0,0.14,0.204
34,20,0.0,28.0,1.6,0.24,0.08
34,21,0.0,22.7,1.2,0.3,0.108
34,22,5.8,25.2,5.0,0.31,0.0
34,23,15.5,20.2,1.9,0.29,0.065
35,0,2.6,12.0,1.3,0.48,0.0
35,1,0.0,22.8,3.9,0.47,0.236
35,2,0.0,26.7,3.6,0.3,0.04
35,3,0.0,24.5,4.0,0.38,0.0
35,4,9.1,13.8,3.2,0.37,0.0
35,5,0.0,25.4,1.5,0.5,0.0
35,6,18.1,17.7,2.4,0.38,0.182
35,7,152.0,21.7,0.9,0.49,1.521
35,8,315.4,21.9,0.8,0.42,2.883
35,9,396.8,26.1,0.8,0.6,3.464
35,10,554.7,29.7,2.4,0.41,4.462
35,11,620.7,31.9,3.3,0.41,5.145
35,12,693.0,32.0,0.7,0.41,5.711
35,13,629.0,33.6,3.2,0.43,4.812
35,14,474.5,33.0,4.2,0.61,4.259
35,15,446.0,32.7,3.0,0.37,3.735
35,16,371.6,35.3,6.4,0.34,2.991
35,17,172.8,36.4,0.2,0.4,1.715
35,18,1.9,34.0,0.4,0.47,0.0
35,19,7.8,32.3,5.7,0.34,0.0
35,20,0.0,23.9,2.7,0.48,0.0
35,21,0.0,23.9,3.8,0.47,0.051
35,22,7.1,23.9,6.6,0.4,0.048
35,23,49.2,23.8,1.6,0.39,0.524
36,0,0.0,23.4,4.9,0.3,0.0
36,1,36.0,13.7,1.0,0.34,0.479
36,2,10.0,10.0,0.9,0.3,0.269
36,3,15.9,11.4,3.1,0.46,0.194
36,4,0.0,23.7,0.7,0.49,0.0
36,5,9.6,14.1,8.0,0.34,0.062
36,6,0.0,26.2,2.3,0.36,0.0
36,7,189.2,21.5,1.3,0.21,2.071
36,8,380.9,24.5,2.1,0.32,3.255
36,9,465.7,25.9,1.2,0.39,4.086
36,10,578.8,29.8,6.4,0.38,4.617
36,11,672.9,30.4,3.6,0.37,5.432
36,12,632.4,35.3,1.9,0.43,5.026
36,13,645.2,36.7,2.5,0.37,5.087
36,14,622.7,34.6,5.7,0.33,5.086
36,15,429.7,34.6,1.7,0.49,3.48
36,16,424.2,33.4,2.2,0.21,3.509
36,17,179.6,32.6,1.5,0.27,1.536
36,18,11.1,35.2,3.1,0.3,0.005
36,19,11.1,32.6,1.3,0.3,0.312
36,20,0.0,26.3,0.4,0.3,0.109
36,21,0.0,24.8,0.2,0.34,0.0
36,22,0.6,25.3,2.4,0.3,0.098
36,23,0.0,25.0,3.9,0.36,0.124
37,0,0.0,23.2,5.7,0.72,0.0
37,1,11.0,12.2,1.5,0.68,0.0
37,2,0.0,25.3,2.9,0.69,0.0
37,3,0.0,24.2,5.4,0.6,0.299
37,4,12.2,13.1,4.4,0.58,0.0
37,5,0.0,22.5,1.1,0.65,0.0
37,6,0.0,28.4,2.8,0.75,0.0
37,7,94.8,20.0,4.6,0.71,0.765
37,8,185.0,22.9,1.5,0.76,1.664
37,9,270.8,26.7,0.8,0.75,2.351
37,10,330.1,29.0,7.7,0.76,2.948
37,11,516.2,33.0,2.9,0.61,4.18
37,12,384.0,32.7,9.2,0.77,3.428
37,13,376.3,35.8,1.3,0.74,3.137
37,14,287.3,35.8,2.9,0.84,2.666
37,15,318.4,36.1,3.5,0.72,2.835
37,16,207.4,35.4,0.7,0.7,1.759
37,17,122.2,33.5,1.4,0.66,0.852
37,18,0.0,23.2,3.1,0.69,0.0
37,19,0.0,22.2,2.1,0.54,0.0
37,20,0.0,23.3,1.0,0.66,0.232
37,21,0.0,24.1,1.3,0.67,0.0
37,22,2.1,24.3,3.4,0.75,0.0
37,23,10.1,19.6,2.9,0.62,0.0
38,0,0.0,22.7,2.7,0.32,0.0
38,1,39.3,11.3,4.7,0.46,0.547
38,2,0.0,25.8,2.3,0.27,0.0
38,3,19.6,13.3,0.9,0.38,0.391
38,4,5.7,15.0,1.9,0.27,0.041
38,5,20.5,18.2,0.3,0.3,0.176
38,6,7.4,19.4,4.9,0.35,0.0
38,7,141.0,20.4,4.0,0.38,1.284
38,8,373.2,26.3,4.7,0.27,3.071
38,9,571.2,26.3,1.4,0.23,4.874
38,10,556.5,30.8,3.9,0.43,4.633
38,11,673.2,31.9,4.4,0.33,5.31
38,12,675.0,34.2,0.4,0.37,5.524
38,13,658.4,36.6,2.5,0.38,5.076
38,14,611.9,34.9,2.3,0.37,4.974
38,15,515.9,33.7,4.6,0.29,4.208
38,16,368.9,36.0,4.1,0.3,3.026
38,17,196.4,34.5,2.8,0.19,1.505
38,18,0.0,23.4,0.7,0.32,0.21
38,19,0.0,23.8,3.9,0.27,0.072
38,20,19.4,26.7,1.8,0.31,0.0
38,21,9.9,26.4,4.1,0.46,0.0
38,22,0.0,23.4,0.5,0.36,0.084
38,23,0.0,24.2,1.1,0.31,0.0
39,0,7.0,11.8,0.4,0.42,0.084
39,1,0.0,23.1,3.4,0.59,0.052
39,2,0.0,24.6,3.1,0.65,0.0
39,3,0.0,25.3,7.2,0.47,0.0
39,4,8.5,14.1,4.5,0.57,0.328
39,5,0.0,22.3,6.9,0.49,0.157
39,6,10.6,17.4,7.9,0.52,0.197
39,7,123.7,22.7,0.4,0.5,1.038
39,8,318.1,21.1,6.3,0.4,2.903
39,9,416.5,26.3,2.1,0.49,3.313
39,10,581.1,29.2,4.3,0.4,4.882
39,11,461.3,31.7,2.6,0.64,3.68
39,12,503.2,29.9,0.6,0.61,4.285
39,13,552.8,34.6,8.1,0.53,4.423
39,14,478.1,31.9,0.8,0.55,3.752
39,15,390.0,34.6,3.5,0.54,3.1
39,16,273.5,33.6,1.9,0.55,2.255
39,17,129.5,31.2,5.7,0.55,0.78
39,18,10.7,35.3,0.9,0.51,0.245
39,19,5.1,30.2,4.0,0.52,0.072
39,20,11.5,26.1,1.6,0.43,0.432
39,21,32.6,24.2,1.0,0.45,0.234
39,22,17.6,23.0,3.4,0.48,0.0
39,23,6.3,21.6,1.4,0.55,0.198
40,0,0.0,23.1,1.7,0.16,0.0
40,1,33.3,9.3,4.8,0.34,0.302
40,2,2.9,13.8,8.6,0.18,0.021
40,3,0.0,23.7,2.1,0.16,0.072
40,4,19.0,16.2,5.4,0.23,0.18
40,5,6.2,17.8,1.3,0.27,0.125
40,6,0.0,23.7,1.7,0.34,0.0
40,7,202.8,22.6,3.6,0.27,1.833
40,8,452.4,23.1,2.8,0.15,3.822
40,9,583.7,27.5,3.2,0.18,4.934
40,10,659.0,26.0,0.5,0.28,5.48
40,11,758.3,28.0,1.5,0.21,6.307
40,12,761.4,31.0,2.7,0.26,5.898
40,13,803.1,34.8,7.3,0.19,6.449
40,14,625.6,35.2,5.5,0.32,4.987
40,15,520.1,34.2,1.4,0.31,4.28
40,16,392.4,34.1,4.5,0.28,3.126
40,17,204.3,33.2,1.8,0.21,1.85
40,18,24.7,32.8,2.2,0.07,0.227
40,19,0.0,24.9,8.9,0.09,0.0
40,20,0.0,24.7,0.8,0.22,0.273
40,21,0.0,23.0,1.1,0.24,0.124
40,22,0.0,23.2,4.6,0.0,0.0
40,23,9.7,21.5,0.7,0.16,0.226
41,0,1.7,9.8,1.7,0.59,0.0
41,1,21.9,11.1,6.8,0.58,0.245
41,2,0.0,24.0,3.4,0.46,0.07
41,3,12.6,13.0,0.6,0.55,0.431
41,4,21.3,13.1,1.5,0.51,0.515
41,5,0.0,21.9,4.8,0.49,0.063
41,6,0.0,21.8,1.1,0.59,0.088
41,7,100.2,22.6,1.3,0.59,0.666
41,8,340.4,23.2,7.0,0.46,2.971
41,9,454.4,24.0,1.3,0.43,3.715
41,10,586.4,25.4,4.5,0.4,5.217
41,11,640.7,30.7,5.1,0.39,5.274
41,12,522.9,34.8,1.3,0.61,4.093
41,13,453.7,33.6,2.5,0.65,3.789
41,14,513.8,33.5,1.8,0.52,4.413
41,15,378.8,36.4,3.1,0.59,3.152
41,16,309.8,34.4,0.4,0.45,2.54
41,17,161.3,33.8,2.4,0.5,1.55
41,18,0.0,23.6,3.7,0.58,0.054
41,19,3.2,30.2,2.4,0.53,0.0
41,20,0.0,24.2,4.8,0.5,0.0
41,21,22.5,27.1,3.7,0.37,0.179
41,22,12.3,23.0,1.8,0.39,0.09
41,23,0.0,22.3,2.6,0.47,0.128
42,0,0.0,23.5,2.3,0.28,0.0
42,1,45.4,7.2,1.7,0.32,0.408
42,2,0.0,22.4,0.4,0.28,0.058
42,3,29.1,11.4,1.3,0.31,0.4
42,4,14.4,14.7,1.6,0.33,0.437
42,5,12.3,13.9,2.7,0.37,0.0
42,6,0.0,24.6,3.9,0.33,0.0
42,7,206.3,20.1,4.0,0.28,2.144
42,8,359.0,23.6,2.2,0.31,3.115
42,9,458.0,27.6,3.3,0.4,3.762
42,10,640.0,28.4,2.4,0.31,5.318
42,11,733.9,29.6,1.8,0.25,6.154
42,12,781.8,32.8,0.7,0.25,6.193
42,13,663.4,34.3,3.4,0.35,5.342
42,14,603.1,37.6,1.9,0.37,4.832
42,15,465.8,34.9,1.5,0.42,3.74
42,16,354.9,36.1,3.0,0.3,2.784
42,17,151.6,35.8,2.1,0.43,1.606
42,18,0.0,24.7,4.0,0.3,0.0
42,19,0.0,22.7,6.2,0.31,0.005
42,20,0.0,21.3,4.8,0.28,0.214
42,21,27.8,27.3,2.9,0.37,0.081
42,22,6.2,25.6,0.7,0.41,0.0
42,23,0.0,24.1,1.0,0.32,0.144
43,0,0.0,24.7,0.4,0.28,0.0
43,1,0.0,23.1,0.6,0.2,0.048
43,2,4.0,12.5,10.0,0.33,0.074
43,3,0.0,24.9,5.8,0.29,0.335
43,4,0.0,23.0,6.9,0.3,0.0
43,5,0.0,24.8,0.9,0.27,0.0
43,6,0.0,22.9,0.5,0.25,0.117
43,7,177.8,18.9,4.0,0.28,1.794
43,8,351.8,23.6,4.6,0.35,3.049
43,9,461.6,25.4,0.7,0.39,3.869
43,10,636.8,28.9,5.2,0.31,4.973
43,11,678.5,31.3,6.7,0.34,5.421
43,12,744.4,32.1,4.8,0.3,5.967
43,13,698.7,34.4,3.5,0.31,5.574
43,14,665.8,34.0,6.3,0.21,5.376
43,15,458.7,36.2,2.4,0.38,3.764
43,16,341.9,33.3,2.5,0.36,2.925
43,17,172.6,31.7,4.6,0.43,1.771
43,18,6.0,33.9,6.0,0.27,0.006
43,19,7.7,27.5,1.4,0.32,0.225
43,20,10.3,27.8,1.0,0.24,0.0
43,21,5.5,25.3,2.4,0.33,0.027
43,22,6.7,24.2,2.5,0.31,0.0
43,23,0.0,22.6,3.5,0.37,0.0
44,0,8.5,10.7,0.9,0.21,0.061
44,1,0.0,20.0,2.3,0.27,0.119
44,2,0.0,24.2,1.1,0.18,0.0
44,3,3.0,10.3,2.4,0.26,0.0
44,4,34.6,13.3,0.3,0.19,0.483
44,5,0.0,21.5,3.4,0.18,0.296
44,6,0.0,24.4,11.6,0.22,0.09
44,7,196.7,18.6,2.8,0.25,1.791
44,8,443.0,20.6,2.5,0.11,3.84
44,9,621.7,27.3,2.6,0.1,5.238
44,10,704.1,26.9,4.6,0.23,6.153
44,11,747.7,30.5,1.7,0.21,6.091
44,12,934.7,32.7,1.5,0.06,7.109
44,13,840.1,31.2,1.4,0.09,6.729
44,14,714.7,35.9,1.5,0.16,5.475
44,15,558.3,33.1,10.0,0.24,4.862
44,16,393.4,34.5,2.0,0.23,3.25
44,17,191.3,34.1,0.7,0.3,1.734
44,18,1.5,31.9,3.3,0.31,0.0
44,19,6.2,28.8,1.1,0.4,0.0
44,20,14.9,29.3,3.0,0.11,0.18
44,21,6.6,24.0,2.6,0.21,0.0
44,22,0.0,20.7,3.3,0.3,0.022
44,23,0.0,24.4,3.2,0.12,0.196
45,0,21.0,12.6,5.4,0.02,0.003
45,1,29.3,7.6,1.5,0.14,0.17
45,2,14.5,10.4,3.7,0.21,0.0
45,3,16.5,11.6,0.5,0.23,0.148
45,4,5.1,8.8,3.2,0.0,0.097
45,5,31.5,14.1,7.2,0.03,0.306
45,6,0.0,24.2,2.2,0.12,0.065
45,7,225.2,18.3,3.2,0.09,2.178
45,8,409.2,24.4,1.5,0.15,3.701
45,9,625.9,28.1,2.5,0.14,4.824
45,10,651.9,27.4,0.5,0.26,5.131
45,11,840.9,28.8,0.9,0.12,6.681
45,12,828.3,31.9,4.1,0.14,6.44
45,13,803.8,31.1,0.4,0.13,6.457
45,14,706.0,36.1,4.2,0.21,5.79
45,15,661.7,35.2,1.7,0.04,5.116
45,16,431.8,32.0,1.1,0.16,3.578
45,17,236.8,32.1,3.3,0.07,2.002
45,18,0.0,22.0,5.3,0.02,0.156
45,19,0.0,24.1,4.3,0.22,0.0
45,20,0.0,23.7,4.9,0.17,0.0
45,21,0.0,21.5,0.8,0.24,0.114
45,22,20.7,22.7,6.8,0.15,0.177
45,23,0.0,21.8,0.4,0.18,0.0
46,0,0.0,23.0,2.7,0.13,0.236
46,1,0.0,21.8,5.9,0.16,0.0
46,2,0.0,25.4,2.9,0.09,0.0
46,3,0.0,22.9,2.1,0.25,0.304
46,4,0.0,21.8,2.0,0.05,0.0
46,5,0.0,20.6,1.3,0.25,0.143
46,6,0.0,20.1,0.9,0.1,0.0
46,7,234.5,20.7,4.8,0.19,1.796
46,8,454.7,23.5,2.0,0.13,4.047
46,9,596.3,27.3,7.9,0.15,5.036
46,10,699.6,25.9,3.4,0.24,5.618
46,11,820.8,30.9,2.0,0.13,6.537
46,12,916.7,29.8,1.3,0.05,7.156
46,13,841.9,34.1,7.0,0.14,6.669
46,14,722.0,34.8,2.7,0.17,5.842
46,15,684.4,34.6,1.4,0.0,5.306
46,16,364.1,33.5,3.7,0.2,3.176
46,17,212.6,32.3,2.3,0.21,1.755
46,18,0.0,21.7,2.7,0.0,0.105
46,19,0.0,19.3,5.1,0.11,0.174
46,20,0.0,23.3,1.5,0.18,0.253
46,21,0.0,20.5,1.6,0.03,0.18
46,22,9.2,22.5,3.6,0.09,0.0
46,23,8.9,19.5,0.4,0.09,0.0
47,0,11.7,11.4,6.7,0.2,0.291
47,1,12.9,10.1,2.1,0.24,0.02
47,2,16.6,10.4,2.9,0.15,0.077
47,3,5.9,11.7,3.0,0.16,0.0
47,4,0.0,23.5,2.2,0.23,0.378
47,5,0.0,21.4,2.4,0.2,0.0
47,6,0.0,20.7,3.4,0.15,0.001
47,7,183.6,19.4,0.6,0.26,1.667
47,8,444.4,21.9,1.9,0.04,3.93
47,9,586.2,25.8,2.2,0.17,4.851
47,10,713.2,27.9,1.1,0.12,5.757
47,11,819.7,29.8,2.9,0.12,6.586
47,12,816.3,33.2,1.0,0.17,6.415
47,13,816.7,33.3,5.6,0.16,6.447
47,14,623.9,34.7,3.0,0.35,5.033
47,15,573.1,33.5,0.2,0.21,4.688
47,16,409.3,36.1,2.0,0.18,3.182
47,17,186.0,33.9,6.4,0.29,1.464
47,18,16.8,30.1,3.3,0.24,0.369
47,19,10.7,28.2,4.2,0.01,0.125
47,20,0.0,24.8,4.4,0.16,0.199
47,21,0.0,22.5,3.3,0.21,0.0
47,22,6.3,24.7,4.5,0.11,0.179
47,23,13.9,23.0,3.9,0.18,0.0
48,0,0.0,22.1,2.0,0.24,0.124
48,1,22.7,10.4,5.6,0.31,0.245
48,2,17.8,11.4,2.1,0.15,0.345
48,3,0.0,20.6,2.0,0.13,0.0
48,4,0.0,19.2,4.3,0.24,0.136
48,5,0.0,24.7,1.0,0.3,0.0
48,6,0.0,20.7,2.9,0.38,0.0
48,7,203.7,19.0,1.2,0.26,1.923
48,8,418.6,24.2,7.9,0.22,3.508
48,9,517.1,24.7,0.9,0.35,4.446
48,10,652.6,28.5,0.9,0.28,5.311
48,11,623.2,29.9,4.2,0.42,5.213
48,12,747.7,29.4,0.7,0.27,6.019
48,13,839.0,31.6,3.8,0.12,6.666
48,14,683.7,33.8,5.0,0.22,5.471
48,15,581.0,32.5,0.6,0.2,4.618
48,16,414.1,35.1,3.0,0.17,3.284
48,17,211.2,33.3,4.1,0.22,1.913
48,18,0.0,19.5,2.8,0.22,0.0
48,19,31.3,30.1,2.6,0.26,0.54
48,20,18.0,26.3,1.0,0.23,0.326
48,21,2.4,24.1,2.2,0.31,0.0
48,22,0.0,23.0,1.4,0.31,0.074
48,23,9.5,16.4,2.3,0.29,0.273
49,0,12.4,8.5,3.2,0.72,0.0
49,1,0.0,22.1,4.2,0.55,0.0
49,2,2.2,7.7,0.9,0.57,0.168
49,3,31.7,12.8,0.8,0.63,0.19
49,4,3.8,7.3,1.9,0.72,0.0
49,5,0.0,23.2,1.2,0.59,0.026
49,6,10.0,17.5,3.1,0.67,0.036
49,7,141.2,17.9,3.7,0.72,1.404
